Date ,Time ,WU311,WU312,WU314,WU321,WU322,WU323
2-Jun-25,3:29:25 AM,151.7639465,143.9688721,60.03891373,75.55123138,120.8949432,104.0207596
2-Jun-25,3:29:54 AM,153.8910522,146.6147919,60.70038986,76.30350494,122.2179031,105.2140121
2-Jun-25,3:30:25 AM,154.9156952,147.8339844,61.99740982,77.15953827,123.2425461,106.2256851
2-Jun-25,3:30:55 AM,155.8495483,149.2607117,62.30869293,78.66407776,125.265892,107.2114182
2-Jun-25,3:31:24 AM,156.7704315,150.5058441,63.1387825,79.27367401,126.3164749,109.0402145
2-Jun-25,3:31:54 AM,157.7172546,151.6212769,63.80026245,80.19455719,127.2243881,110.0259476
2-Jun-25,3:32:25 AM,159.1958618,154.1504669,64.24124908,80.8690033,128.3398285,111.1154404
2-Jun-25,3:32:55 AM,159.8573303,155.4993591,65.44747162,81.53047943,129.4293213,112.0492935
2-Jun-25,3:33:25 AM,160.3242645,156.6407318,66.1478653,83.1906662,131.2451477,112.8404694
2-Jun-25,3:33:55 AM,160.6355438,157.8728943,66.62776184,83.83917236,132.3087006,114.7859955
2-Jun-25,3:34:24 AM,160.9079132,158.988327,67.52269745,84.63035583,133.3981934,115.8365784
2-Jun-25,3:34:55 AM,161.3229675,161.1932678,68.08041382,85.16213226,134.4487762,116.7834015
2-Jun-25,3:35:25 AM,161.4656372,162.4773102,69.46822357,85.97924805,135.3696594,117.561615
2-Jun-25,3:35:54 AM,161.5823669,163.5797729,70.02593994,87.47081757,137.1854858,118.4435806
2-Jun-25,3:36:25 AM,161.3099976,164.565506,70.79118347,88.09339142,138.1712036,120.1037674
2-Jun-25,3:36:55 AM,161.4915771,166.7185516,71.40077972,88.76783752,139.1439667,120.8819733
2-Jun-25,3:37:25 AM,161.2970276,167.8339844,71.82879639,89.54605103,139.9481201,121.7250366
2-Jun-25,3:37:55 AM,161.5304871,168.6381378,73.0998764,90.90791321,140.8430634,122.5032501
2-Jun-25,3:38:24 AM,161.2710876,169.98703,73.6446228,91.60830688,142.5032501,123.268486
2-Jun-25,3:38:55 AM,161.1154327,171.0246429,74.31906891,92.42542267,143.2684937,124.8249054
2-Jun-25,3:39:25 AM,161.5045471,172.9312592,75.0453949,93.13878632,144.1634369,125.6160889
2-Jun-25,3:39:55 AM,161.4396973,173.7354126,75.48638153,93.67056274,145.1491547,126.3683548
2-Jun-25,3:40:24 AM,160.9597931,174.8119354,76.8223114,95.1880722,145.7846985,127.1206284
2-Jun-25,3:40:55 AM,161.0246429,175.7846985,77.67834473,95.81063843,147.6394348,127.8599243
2-Jun-25,3:41:25 AM,161.1802979,176.562912,78.37873077,96.38132477,148.4695282,129.4293213
2-Jun-25,3:41:55 AM,160.8171234,178.3398285,78.89753723,97.12062836,149.2477417,130.0907898
2-Jun-25,3:42:25 AM,160.7911835,179.2736816,79.53307343,97.67834473,150.0778198,130.8949432
2-Jun-25,3:42:55 AM,160.7393036,180.0908051,80.90791321,99.20882416,150.985733,131.7639465
2-Jun-25,3:43:25 AM,161.0894928,181.0376129,81.51750946,99.67575073,152.54216,132.4124603
2-Jun-25,3:43:55 AM,160.9597931,182.0233459,82.21790314,100.3372269,153.4241333,133.0739288
2-Jun-25,3:44:25 AM,161.0765228,183.566803,82.6459198,100.985733,154.0466919,134.578476
2-Jun-25,3:44:55 AM,160.9338531,184.3320465,83.30739594,101.6601868,154.7989655,135.3566895
2-Jun-25,3:45:24 AM,160.9727631,185.006485,84.4098587,103.009079,155.4604492,135.9273682
2-Jun-25,3:45:55 AM,161.0246429,185.5901489,85.25292206,103.5797729,157.1465759,136.549942
2-Jun-25,3:46:25 AM,161.1673279,186.0570679,85.78469849,104.3060989,157.9636841,137.3022156
2-Jun-25,3:46:54 AM,161.4915771,187.003891,86.47211456,104.7730255,158.5214081,138.7029877
2-Jun-25,3:47:25 AM,161.2970276,187.2503357,87.00389099,105.3696518,159.3385315,139.4033813
2-Jun-25,3:47:55 AM,161.3229675,187.535675,88.22309113,106.7444916,160.7911835,140.0518799
2-Jun-25,3:48:25 AM,161.6990967,187.8339844,88.7808075,107.2243881,161.7509766,140.6874237
2-Jun-25,3:48:55 AM,161.4137573,188.2749786,89.52010345,108.0155716,162.4384003,141.8936462
2-Jun-25,3:49:23 AM,161.6731567,189.001297,90.06485748,108.7548676,162.996109,142.4773102
2-Jun-25,3:49:55 AM,161.8287964,189.3255615,90.70039368,109.2347641,163.8910522,143.2425537
2-Jun-25,3:50:25 AM,161.5304871,189.6238708,91.89364624,110.570694,165.2658997,143.9429321
2-Jun-25,3:50:55 AM,161.5045471,190.116745,92.26978302,111.0376205,165.8884583,144.4747162
2-Jun-25,3:51:26 AM,161.7509766,190.3761444,93.07393646,111.6861267,166.6407318,145.7457886
2-Jun-25,3:51:54 AM,161.3618774,190.7263336,93.69650269,112.3346329,167.3540955,146.4461823
2-Jun-25,3:52:24 AM,161.3618774,190.9468231,94.15045929,112.7756195,168.0415039,146.8741913
2-Jun-25,3:52:54 AM,161.3359375,190.8171234,95.42153168,114.1634293,169.2866516,147.5875549
2-Jun-25,3:53:25 AM,161.0894928,190.6874237,95.88845825,114.7600555,170.0518799,148.2360687
2-Jun-25,3:53:55 AM,161.0246429,191.011673,96.64073181,115.291832,170.7263336,149.6368408
2-Jun-25,3:54:25 AM,161.1413879,190.2075348,97.09468842,115.9403381,171.4137573,150.2205048
2-Jun-25,3:54:55 AM,160.998703,190.0908051,98.28794098,116.536972,172.101181,150.5317841
2-Jun-25,3:55:24 AM,160.7911835,189.6238708,98.87159729,117.6653748,173.2425537,151.1802979
2-Jun-25,3:55:55 AM,160.9468231,189.3255615,99.37743378,118.262001,173.9688721,151.7898865
2-Jun-25,3:56:26 AM,160.7782135,188.7678375,99.93515015,118.7678375,174.539566,153.0479889
2-Jun-25,3:56:55 AM,160.5966339,187.574585,100.557724,119.260704,175.2010498,153.3981934
2-Jun-25,3:57:25 AM,160.7263336,186.977951,101.6342468,119.9610901,175.8365784,153.994812
2-Jun-25,3:57:53 AM,160.8041534,186.2256927,102.269783,121.4267197,177.3281555,154.6692657
2-Jun-25,3:58:25 AM,160.4928741,185.6939087,102.6718597,121.6342468,177.9507141,155.2918396
2-Jun-25,3:58:55 AM,160.570694,185.2399597,103.5797729,122.3994827,178.6381378,155.8236084
2-Jun-25,3:59:25 AM,160.5058441,184.2412567,103.8391724,122.8923492,179.2866516,157.0687408
2-Jun-25,3:59:54 AM,160.8949432,183.9688721,105.0194626,123.4241257,179.9740601,157.4578552
2-Jun-25,4:00:24 AM,160.5836639,183.8262024,105.6420288,124.5006561,181.2970276,157.8988342
2-Jun-25,4:00:56 AM,160.7652435,183.5019531,106.290535,125.3826218,181.8677063,158.6770477
2-Jun-25,4:01:25 AM,160.5188141,183.540863,106.7055817,125.9273682,182.4902802,159.7016907
2-Jun-25,4:01:55 AM,160.4928741,183.2295837,107.0817184,126.3553848,182.9312592,160.3112946
2-Jun-25,4:02:25 AM,160.8560333,183.540863,107.9766541,126.8871613,183.4889832,160.8560333
2-Jun-25,4:02:55 AM,160.544754,183.7483826,108.5343781,128.015564,184.7470856,161.3748474
2-Jun-25,4:03:26 AM,160.7522736,183.9559021,109.2347641,128.5214081,185.5123291,161.9066162
2-Jun-25,4:03:55 AM,160.6096039,183.8780823,109.7535706,128.988327,186.0830231,163.1906738
2-Jun-25,4:04:25 AM,161.011673,184.6044159,109.9740601,129.2996216,186.6666718,163.4889832
2-Jun-25,4:04:54 AM,161.0894928,184.8767853,111.0635605,129.8184204,187.3281555,164.0856018
2-Jun-25,4:05:25 AM,160.8300934,185.12323,111.4915771,130.7911835,188.3009186,164.7211456
2-Jun-25,4:05:55 AM,160.9079132,185.4734192,111.7898865,131.2062378,188.8975372,165.2399597
2-Jun-25,4:06:25 AM,160.985733,185.7068787,112.4773026,131.7509766,189.4812012,166.1738129
2-Jun-25,4:06:55 AM,160.7652435,186.4202423,112.9442291,132.0233459,189.9092102,166.7963715
2-Jun-25,4:07:23 AM,160.7522736,186.3164825,113.7094727,132.55513,190.570694,167.3151855
2-Jun-25,4:07:55 AM,160.9079132,186.7185516,114.3320389,133.4760132,191.7769165,167.6394348
2-Jun-25,4:08:25 AM,160.7263336,186.6926117,114.6952057,133.7483826,192.2438507,168.3268585
2-Jun-25,4:08:55 AM,160.6614838,186.7055817,115.291832,134.1634216,192.7885895,168.8197174
2-Jun-25,4:09:24 AM,160.2723846,186.7963715,115.6679688,134.7730255,193.1777039,169.7276306
2-Jun-25,4:09:55 AM,160.985733,186.9649811,116.6666718,134.9416351,193.3852234,170.1426849
2-Jun-25,4:10:25 AM,160.4799042,186.8612213,117.0817184,136.005188,193.8262024,170.7911835
2-Jun-25,4:10:55 AM,160.4928741,186.7963715,117.4578476,136.6407318,193.6835327,171.3748474
2-Jun-25,4:11:25 AM,160.7263336,186.7444916,117.7561646,136.977951,193.8002625,171.7509766
2-Jun-25,4:11:53 AM,160.3891144,186.3813324,118.1971512,137.3930054,194.007782,172.7367096
